mp,date_time,home_team,away_team,1st_home_goal,1st_away_goal,1st_total_goal,2nd_home_goal,2nd_away_goal,2nd_total_goal,total_home_goal,total_away_goal,global
20,2023-01-28 18:00,Quevilly-Rouen,Paris FC,1,0,1,2,1,3,3,1,4
20,2023-01-28 18:00,Valenciennes,Metz,0,0,0,1,1,2,1,1,2
20,2023-01-28 14:00,Saint-Étienne,Sochaux,0,1,1,2,2,4,2,3,5
19,2023-01-20 17:30,Sochaux,Caen,1,0,1,0,2,2,1,2,3
19,2023-01-16 19:45,Niort,Saint-Étienne,0,0,0,0,1,1,0,1,1
19,2023-01-13 19:45,Bastia,Pau FC,0,0,0,1,0,1,1,0,1
19,2023-01-13 19:45,Dijon,Valenciennes,1,0,1,1,1,2,2,1,3
19,2023-01-13 19:45,Annecy,Paris FC,1,0,1,1,0,1,2,0,2
19,2023-01-13 19:45,Bordeaux,Amiens,1,0,1,0,1,1,1,1,2
19,2023-01-13 19:45,Laval,Rodez,1,0,1,2,1,3,3,1,4
19,2023-01-13 19:45,Guingamp,Grenoble,1,1,2,1,3,4,2,4,6
19,2023-01-13 19:45,Le Havre,Nîmes,0,0,0,3,1,4,3,1,4
19,2023-01-13 19:45,Metz,Quevilly-Rouen,0,0,0,2,0,2,2,0,2
18,2023-01-10 19:45,Quevilly-Rouen,Bastia,1,0,1,0,1,1,1,1,2
18,2023-01-10 19:45,Valenciennes,Annecy,1,1,2,1,1,2,2,2,4
18,2023-01-10 19:45,Saint-Étienne,Laval,0,0,0,1,0,1,1,0,1
18,2023-01-10 19:45,Pau FC,Grenoble,0,0,0,0,0,0,0,0,0
18,2023-01-10 19:45,Paris FC,Dijon,1,0,1,1,1,2,2,1,3
18,2023-01-10 19:45,Nîmes,Metz,0,0,0,1,4,5,1,4,5
18,2023-01-10 19:45,Caen,Bordeaux,0,2,2,2,0,2,2,2,4
18,2023-01-10 19:45,Le Havre,Sochaux,0,0,0,1,0,1,1,0,1
18,2023-01-10 19:45,Amiens,Guingamp,0,0,0,1,1,2,1,1,2
18,2023-01-10 19:45,Rodez,Niort,0,0,0,1,1,2,1,1,2
17,2022-12-30 20:00,Rodez,Dijon,2,0,2,0,1,1,2,1,3
17,2022-12-30 20:00,Annecy,Nîmes,0,0,0,0,0,0,0,0,0
17,2022-12-30 20:00,Paris FC,Le Havre,0,0,0,0,0,0,0,0,0
17,2022-12-30 20:00,Laval,Amiens,0,1,1,0,2,2,0,3,3
17,2022-12-30 20:00,Grenoble,Metz,0,0,0,0,1,1,0,1,1
17,2022-12-30 20:00,Bastia,Valenciennes,0,0,0,1,0,1,1,0,1
17,2022-12-30 20:00,Guingamp,Quevilly-Rouen,0,1,1,0,1,1,0,2,2
17,2022-12-30 20:00,Niort,Pau FC,1,0,1,1,1,2,2,1,3
17,2022-12-30 18:05,Saint-Étienne,Caen,0,1,1,1,0,1,1,1,2
17,2022-12-30 16:00,Bordeaux,Sochaux,2,0,2,0,1,1,2,1,3
16,2022-12-26 20:00,Bastia,Caen,0,0,0,1,0,1,1,0,1
16,2022-12-26 20:00,Pau FC,Paris FC,0,1,1,0,0,0,0,1,1
16,2022-12-26 20:00,Nîmes,Guingamp,1,1,2,0,1,1,1,2,3
16,2022-12-26 20:00,Metz,Niort,0,0,0,0,0,0,0,0,0
16,2022-12-26 20:00,Dijon,Laval,3,0,3,2,0,2,5,0,5
16,2022-12-26 20:00,Quevilly-Rouen,Grenoble,0,0,0,2,0,2,2,0,2
16,2022-12-26 20:00,Valenciennes,Amiens,1,1,2,0,0,0,1,1,2
16,2022-12-26 20:00,Sochaux,Rodez,0,0,0,1,0,1,1,0,1
16,2022-12-26 18:05,Le Havre,Bordeaux,1,0,1,0,0,0,1,0,1
16,2022-12-26 16:00,Annecy,Saint-Étienne,1,0,1,1,1,2,2,1,3
15,2022-11-12 18:00,Amiens,Quevilly-Rouen,0,1,1,0,1,1,0,2,2
15,2022-11-12 18:00,Grenoble,Dijon,0,0,0,0,0,0,0,0,0
15,2022-11-12 18:00,Bordeaux,Pau FC,0,1,1,1,0,1,1,1,2
15,2022-11-12 18:00,Sochaux,Bastia,1,0,1,0,0,0,1,0,1
15,2022-11-12 18:00,Caen,Annecy,0,0,0,0,0,0,0,0,0
15,2022-11-12 18:00,Guingamp,Le Havre,0,0,0,0,1,1,0,1,1
15,2022-11-12 18:00,Laval,Valenciennes,1,0,1,0,0,0,1,0,1
15,2022-11-12 18:00,Niort,Nîmes,0,1,1,1,0,1,1,1,2
15,2022-11-12 18:00,Paris FC,Metz,1,2,3,0,2,2,1,4,5
15,2022-11-12 14:00,Saint-Étienne,Rodez,0,0,0,0,2,2,0,2,2
14,2022-11-07 19:45,Metz,Saint-Étienne,2,1,3,1,1,2,3,2,5
14,2022-11-05 18:00,Bastia,Paris FC,0,1,1,0,0,0,0,1,1
14,2022-11-05 18:00,Dijon,Guingamp,0,1,1,1,0,1,1,1,2
14,2022-11-05 18:00,Laval,Niort,1,1,2,1,0,1,2,1,3
14,2022-11-05 18:00,Annecy,Sochaux,0,1,1,2,0,2,2,1,3
14,2022-11-05 18:00,Pau FC,Amiens,1,0,1,1,1,2,2,1,3
14,2022-11-05 18:00,Valenciennes,Caen,1,1,2,0,0,0,1,1,2
14,2022-11-05 18:00,Rodez,Grenoble,0,0,0,0,1,1,0,1,1
14,2022-11-05 18:00,Quevilly-Rouen,Le Havre,0,0,0,0,1,1,0,1,1
14,2022-11-05 14:00,Nîmes,Bordeaux,1,0,1,0,0,0,1,0,1
13,2022-10-24 18:45,Le Havre,Metz,1,0,1,1,0,1,2,0,2
13,2022-10-22 17:00,Sochaux,Quevilly-Rouen,0,1,1,2,1,3,2,2,4
13,2022-10-22 17:00,Caen,Rodez,0,0,0,2,0,2,2,0,2
13,2022-10-22 17:00,Niort,Dijon,0,0,0,2,1,3,2,1,3
13,2022-10-22 17:00,Pau FC,Nîmes,1,0,1,0,0,0,1,0,1
13,2022-10-22 17:00,Bordeaux,Annecy,1,0,1,0,0,0,1,0,1
13,2022-10-22 17:00,Paris FC,Laval,0,0,0,0,0,0,0,0,0
13,2022-10-22 17:00,Guingamp,Bastia,0,0,0,1,1,2,1,1,2
13,2022-10-22 17:00,Grenoble,Valenciennes,0,0,0,1,0,1,1,0,1
13,2022-10-22 13:00,Amiens,Saint-Étienne,0,0,0,0,1,1,0,1,1
12,2022-10-17 18:45,Bastia,Bordeaux,0,0,0,1,1,2,1,1,2
12,2022-10-15 17:00,Valenciennes,Guingamp,1,0,1,0,0,0,1,0,1
12,2022-10-15 17:00,Nîmes,Amiens,2,0,2,0,0,0,2,0,2
12,2022-10-15 17:00,Laval,Caen,2,0,2,2,0,2,4,0,4
12,2022-10-15 17:00,Rodez,Le Havre,0,1,1,1,0,1,1,1,2
12,2022-10-15 17:00,Niort,Grenoble,0,1,1,0,2,2,0,3,3
12,2022-10-15 17:00,Metz,Sochaux,0,0,0,0,0,0,0,0,0
12,2022-10-15 17:00,Dijon,Quevilly-Rouen,0,0,0,0,0,0,0,0,0
12,2022-10-15 17:00,Annecy,Pau FC,0,1,1,0,1,1,0,2,2
12,2022-10-15 13:00,Saint-Étienne,Paris FC,0,0,0,0,2,2,0,2,2
11,2022-10-10 18:45,Sochaux,Saint-Étienne,1,0,1,1,1,2,2,1,3
11,2022-10-08 17:00,Amiens,Dijon,0,1,1,2,0,2,2,1,3
11,2022-10-08 17:00,Guingamp,Annecy,0,1,1,0,3,3,0,4,4
11,2022-10-08 17:00,Caen,Niort,1,0,1,0,0,0,1,0,1
11,2022-10-08 17:00,Pau FC,Rodez,1,0,1,1,2,3,2,2,4
11,2022-10-08 17:00,Le Havre,Bastia,2,0,2,1,0,1,3,0,3
11,2022-10-08 17:00,Grenoble,Laval,3,2,5,0,0,0,3,2,5
11,2022-10-08 17:00,Quevilly-Rouen,Nîmes,2,0,2,1,1,2,3,1,4
11,2022-10-08 17:00,Paris FC,Valenciennes,0,1,1,0,0,0,0,1,1
11,2022-10-08 13:00,Bordeaux,Metz,1,0,1,1,0,1,2,0,2
10,2022-10-04 18:45,Guingamp,Rodez,0,0,0,0,0,0,0,0,0
10,2022-10-03 18:45,Laval,Bordeaux,0,1,1,1,1,2,1,2,3
10,2022-10-01 17:00,Valenciennes,Sochaux,1,1,2,1,0,1,2,1,3
10,2022-10-01 17:00,Rodez,Amiens,0,1,1,0,0,0,0,1,1
10,2022-10-01 17:00,Nîmes,Paris FC,0,0,0,0,1,1,0,1,1
10,2022-10-01 17:00,Niort,Guingamp,0,0,0,0,0,0,0,0,0
10,2022-10-01 17:00,Annecy,Bastia,0,1,1,0,1,1,0,2,2
10,2022-10-01 17:00,Metz,Pau FC,1,0,1,0,0,0,1,0,1
10,2022-10-01 17:00,Caen,Quevilly-Rouen,0,1,1,0,0,0,0,1,1
10,2022-10-01 17:00,Dijon,Le Havre,0,0,0,0,0,0,0,0,0
9,2022-10-01 13:00,Saint-Étienne,Grenoble,0,1,1,2,1,3,2,2,4
9,2022-09-17 17:00,Paris FC,Rodez,1,0,1,0,2,2,1,2,3
9,2022-09-17 17:00,Sochaux,Nîmes,2,1,3,1,0,1,3,1,4
9,2022-09-17 17:00,Pau FC,Valenciennes,0,0,0,1,0,1,1,0,1
9,2022-09-17 17:00,Quevilly-Rouen,Laval,1,2,3,0,1,1,1,3,4
9,2022-09-17 17:00,Le Havre,Annecy,0,0,0,2,0,2,2,0,2
9,2022-09-17 17:00,Bastia,Metz,1,0,1,0,0,0,1,0,1
9,2022-09-17 17:00,Amiens,Niort,0,0,0,3,0,3,3,0,3
9,2022-09-17 17:00,Grenoble,Caen,0,0,0,1,0,1,1,0,1
8,2022-09-17 13:00,Guingamp,Saint-Étienne,1,0,1,1,1,2,2,1,3
9,2022-09-17 13:00,Bordeaux,Dijon,1,0,1,1,1,2,2,1,3
8,2022-09-12 18:45,Metz,Guingamp,3,3,6,0,3,3,3,6,9
8,2022-09-10 17:00,Rodez,Valenciennes,0,0,0,1,1,2,1,1,2
8,2022-09-10 17:00,Laval,Pau FC,0,0,0,0,1,1,0,1,1
8,2022-09-10 17:00,Nîmes,Bastia,0,0,0,0,0,0,0,0,0
8,2022-09-10 17:00,Niort,Le Havre,0,0,0,0,1,1,0,1,1
8,2022-09-10 17:00,Caen,Amiens,0,0,0,3,1,4,3,1,4
8,2022-09-10 17:00,Grenoble,Paris FC,0,0,0,1,2,3,1,2,3
8,2022-09-10 17:00,Dijon,Sochaux,0,1,1,0,1,1,0,2,2
8,2022-09-10 17:00,Annecy,Quevilly-Rouen,0,0,0,1,0,1,1,0,1
7,2022-09-10 13:00,Saint-Étienne,Bordeaux,1,0,1,1,0,1,2,0,2
7,2022-09-05 18:45,Pau FC,Saint-Étienne,0,1,1,2,1,3,2,2,4
7,2022-09-03 13:00,Paris FC,Bordeaux,0,2,2,1,1,2,1,3,4
7,2022-09-02 18:45,Bastia,Dijon,0,0,0,1,0,1,1,0,1
7,2022-09-02 18:45,Quevilly-Rouen,Niort,3,2,5,0,1,1,3,3,6
7,2022-09-02 18:45,Metz,Annecy,0,0,0,0,0,0,0,0,0
7,2022-09-02 18:45,Valenciennes,Nîmes,1,1,2,2,1,3,3,2,5
7,2022-09-02 18:45,Amiens,Grenoble,0,0,0,1,0,1,1,0,1
7,2022-09-02 18:45,Sochaux,Laval,1,1,2,3,0,3,4,1,5
7,2022-09-02 18:45,Le Havre,Caen,1,0,1,1,1,2,2,1,3
6,2022-08-30 18:45,Niort,Valenciennes,0,1,1,0,0,0,0,1,1
6,2022-08-30 18:45,Laval,Le Havre,1,0,1,0,3,3,1,3,4
6,2022-08-30 18:45,Guingamp,Sochaux,1,1,2,0,1,1,1,2,3
6,2022-08-30 18:45,Saint-Étienne,Bastia,4,0,4,1,0,1,5,0,5
6,2022-08-30 18:45,Rodez,Metz,0,3,3,1,1,2,1,4,5
6,2022-08-30 18:45,Bordeaux,Quevilly-Rouen,3,0,3,1,0,1,4,0,4
6,2022-08-30 18:45,Caen,Pau FC,1,1,2,0,0,0,1,1,2
6,2022-08-30 18:45,Dijon,Annecy,0,1,1,0,1,1,0,2,2
6,2022-08-30 18:45,Amiens,Paris FC,0,0,0,1,1,2,1,1,2
6,2022-08-30 18:45,Grenoble,Nîmes,1,0,1,2,2,4,3,2,5
5,2022-08-27 17:00,Annecy,Grenoble,0,0,0,0,0,0,0,0,0
5,2022-08-27 17:00,Nîmes,Laval,0,0,0,1,0,1,1,0,1
5,2022-08-27 17:00,Bastia,Rodez,0,0,0,0,2,2,0,2,2
5,2022-08-27 17:00,Le Havre,Amiens,0,1,1,1,0,1,1,1,2
5,2022-08-27 17:00,Sochaux,Niort,1,0,1,2,0,2,3,0,3
5,2022-08-27 17:00,Paris FC,Caen,0,1,1,1,0,1,1,1,2
5,2022-08-27 17:00,Valenciennes,Saint-Étienne,1,1,2,1,1,2,2,2,4
5,2022-08-27 17:00,Quevilly-Rouen,Pau FC,0,0,0,2,1,3,2,1,3
5,2022-08-27 13:00,Bordeaux,Guingamp,0,1,1,0,0,0,0,1,1
5,2022-08-27 13:00,Metz,Dijon,0,1,1,1,1,2,1,2,3
4,2022-08-22 18:45,Grenoble,Bordeaux,0,0,0,0,0,0,0,0,0
4,2022-08-20 17:00,Laval,Metz,1,3,4,2,0,2,3,3,6
4,2022-08-20 17:00,Caen,Guingamp,2,1,3,2,0,2,4,1,5
4,2022-08-20 17:00,Dijon,Nîmes,1,0,1,1,1,2,2,1,3
4,2022-08-20 17:00,Amiens,Bastia,2,1,3,1,0,1,3,1,4
4,2022-08-20 17:00,Pau FC,Sochaux,0,1,1,0,2,2,0,3,3
4,2022-08-20 17:00,Valenciennes,Quevilly-Rouen,0,0,0,0,0,0,0,0,0
4,2022-08-20 17:00,Niort,Paris FC,0,0,0,2,1,3,2,1,3
4,2022-08-20 17:00,Rodez,Annecy,1,2,3,1,0,1,2,2,4
4,2022-08-20 13:00,Saint-Étienne,Le Havre,0,0,0,0,6,6,0,6,6
3,2022-08-15 18:45,Quevilly-Rouen,Saint-Étienne,2,2,4,0,0,0,2,2,4
3,2022-08-13 17:00,Dijon,Caen,0,0,0,2,2,4,2,2,4
3,2022-08-13 17:00,Annecy,Laval,0,1,1,0,0,0,0,1,1
3,2022-08-13 17:00,Bordeaux,Niort,0,0,0,1,0,1,1,0,1
3,2022-08-13 17:00,Bastia,Grenoble,2,0,2,1,0,1,3,0,3
3,2022-08-13 17:00,Metz,Valenciennes,1,0,1,1,0,1,2,0,2
3,2022-08-13 17:00,Nîmes,Rodez,0,0,0,1,0,1,1,0,1
3,2022-08-13 17:00,Le Havre,Pau FC,1,0,1,0,1,1,1,1,2
3,2022-08-13 17:00,Sochaux,Amiens,0,0,0,0,1,1,0,1,1
3,2022-08-13 13:00,Guingamp,Paris FC,0,0,0,0,0,0,0,0,0
2,2022-08-08 18:45,Caen,Metz,1,0,1,0,0,0,1,0,1
2,2022-08-06 17:00,Niort,Bastia,0,4,4,1,0,1,1,4,5
2,2022-08-06 17:00,Grenoble,Sochaux,1,0,1,0,0,0,1,0,1
2,2022-08-06 17:00,Amiens,Annecy,0,0,0,1,0,1,1,0,1
2,2022-08-06 17:00,Laval,Guingamp,1,0,1,0,2,2,1,2,3
2,2022-08-06 17:00,Paris FC,Quevilly-Rouen,2,0,2,0,1,1,2,1,3
2,2022-08-06 17:00,Pau FC,Dijon,0,0,0,0,0,0,0,0,0
2,2022-08-06 17:00,Rodez,Bordeaux,0,2,2,0,1,1,0,3,3
2,2022-08-06 17:00,Valenciennes,Le Havre,1,0,1,0,0,0,1,0,1
2,2022-08-06 13:00,Saint-Étienne,Nîmes,1,1,2,0,0,0,1,1,2
1,2022-08-01 18:45,Sochaux,Paris FC,0,0,0,0,0,0,0,0,0
1,2022-07-30 17:00,Annecy,Niort,0,2,2,1,0,1,1,2,3
1,2022-07-30 17:00,Bastia,Laval,0,1,1,0,1,1,0,2,2
1,2022-07-30 17:00,Bordeaux,Valenciennes,0,0,0,0,0,0,0,0,0
1,2022-07-30 17:00,Guingamp,Pau FC,3,0,3,1,0,1,4,0,4
1,2022-07-30 17:00,Le Havre,Grenoble,0,0,0,0,0,0,0,0,0
1,2022-07-30 17:00,Metz,Amiens,2,0,2,1,0,1,3,0,3
1,2022-07-30 17:00,Nîmes,Caen,0,0,0,0,1,1,0,1,1
1,2022-07-30 17:00,Quevilly-Rouen,Rodez,0,0,0,0,0,0,0,0,0
1,2022-07-30 13:00,Dijon,Saint-Étienne,2,0,2,0,1,1,2,1,3
